,source,target
0,let s say dark hair medium build looks like a loser i tell you what,let s say dark hair medium build looks like zero
1,no shut up,he didn t shut up
3,you think i didn t see you fucking coming huh,do you think i didn t see you coming
4,nobody can fucking eat those,he can t eat them
5,you should have seen the british pussy he was hauling back a couple of years back when he was dating rita,you should ve seen the hot english muffin he was bow chicka wowing a couple years ago
6,the beetles didn t even smell bad she could smell the smell of fucked up grass,the bugs didn t smell too bad just sort of green like mown hay
8,no little punks don t fuck with us,no punk kids mess with us
9,for an old fart like him at least a week,a little old guy like him for at least a week
12,damn we got to go,we have to go
13,you really think this boy scout bullshit s gonna work,you really think these boy scout regulars take off
14,come on asshole,come on punk
15,the feds ain t as stupid as they look,the feds aren t as bad as they seem
17,you should have seen the british pussy he was hauling back a couple of years back when he was dating rita,you should ve seen the hot english muffin he was bow chicka wowing a couple years ago while he was dating rita
19,don t think i don t know you was goin through my shit the other night,don t think i don t know what happened this night
20,just sign the damn papers now sandra don t throw away years of marriage,but sandra don t throw up years of marriage
21,this shit is crazy,this is crazy
22,you scared the shit out of me you stupid prick,you scared the hell out of me
23,carlito man it s shit man,carlito man death vaiey out here man
24,and what will soon be the center for all studies you shit,bill leave him and it will be the center for all studios soon
26,out of doors is a place where penises don t fare well in the rain and the wind and all that,and out of this place is a world where the birds are not well in rain wind and all of those things
27,in that shit down there you could ve caught whatever,you could probably catch anything in the muck down there
28,oh fucking hell if you ever want to walk again,if you ever want to walk again
29,when does the damn thing fit,when is that thing gonna set
30,what is in this book that miserable little diary of yours,what s in the book your bad diary
31,is that even in fucking papers anymore,is it still in the papers
32,fucking listen to her,listen to her
33,i cannot be texting secret messages while i am surrounded by the fucking joint chiefs,i can t send secret messages when there s so many powerful people around me
34,look why are bringing me all this garbage anyway,why are you bringing me all this stuff
35,i am saying far as i m concerned your initiative and leadership abilities and stick fucking to itiveness are all in fucking question,i m saying that as far as i m concerned your initiative the leadership skills and your cumbersome resilience are at stake
36,did you write check calendar on the goddamn calendar,and did you write check the calendar for the calendar
37,it s man bear pig,it s an ape man
38,you fucking hear me,did you hear
39,why didn t you fucking tell me,why didn t you tell me
40,and in a strong voice the black man called the dog several times,the black called the dog several times with his powerful voice
41,my co founder just died in the bed of an underage black whore,and co founder just died in a colored girl s bed
42,fuck the tea,never mind the tea
43,who would be stupid enough to build a stone road,who would be crazy enough to build a stone road
44,bucks holy crap,five thousand bucks
45,give me a fucking beer,can i get a beer
47,fuck that s heavy,that heavy
48,you re a saint for having sex with my brother,you re a saint for giving up on my brother
50,dude that shit s tight,dude that s cool
51,get us out of that fucking obstacle course,let us out of this obstacle course
52,you like that shit don t you,you like this huh
53,hey doc can t you let me enjoy this for five fucking minutes,can t you just let me breathe for five minutes
56,and i thought god damn it,and thinking oh boy
58,shit i didn t know he would call you,i didn t know he was gonna call you
59,get the fuck out the car bitch,get out of the car man
60,stupid i m in a hole,well too bad i m in the hole
61,when she was taking it off the flowers were falling from her tits,when she took off her clothes the flower of jasmine fell off her chest
62,he will be executed no he will be punished fairly,no he ll be punished accordingly
63,two fucking three,two three go
64,this guy knows his shit,this guy knows what he s saying
