,source,target
225,jesus,Redeemer
14,laid,pose
85,kills,pop
418,xxx,thirty
132,kafir,caffre
213,escort,bodyguard
186,humping,do it
340,fairies,fay
122,destroy,destruct
394,threesome,ternion
229,pissing,peeing
585,hiv,human immunodeficiency virus
261,peck,pick
468,tit,mammilla
52,criminal,vicious
440,trots,lope
162,niggard,scrooge
173,tosser,jerk-off
461,knife,stab
514,headlights,headlight
467,coitus,coition
315,bitch,grouse
21,muslim,Islamic
188,gin,cotton gin
403,fat,fatty
103,idiot,half-wit
330,bollock,nut
230,bitchy,cattish
92,motherfucker,mother fucker
272,period,stop
482,amateur,inexpert
415,liberal,free
240,foursome,Little Joe
202,orgasm,sexual climax
235,porn,erotica
334,farting,wind
375,bi,bismuth
527,hijacker,highwayman
157,vatican,Vatican Palace
127,coon,common racoon
64,palestinian,Palestinian Arab
462,bimbos,bimbo
37,cum,seed
250,die,pall
452,retarded,developmentally challenged
34,raped,despoil
343,erect,rear
283,harem,serail
172,criminals,felon
1,pimp,procure
366,greaseball,Guinea
262,shiting,betray
48,butt,derriere
505,nook,corner
402,boom,smash
245,scat,scat singing
329,horniest,steamy
407,brothel,bordello
187,shrimping,shrimp
200,flange,rim
12,assassination,blackwash
358,pubes,pubic bone
165,wetback,taco
478,heroin,diacetylmorphine
587,sniggers,snicker
400,ky,Kentucky
31,tramp,hiker
439,execution,death penalty
531,itch,rub
319,panties,scanty
313,vomit,vomitus
347,color,coloring
397,semen,seed
465,nipple,mammilla
420,demon,daimon
15,hell,Scheol
508,spit,spitting
545,hooker,slattern
243,hookers,slattern
332,prostitute,lady of pleasure
427,zoophilia,zoophilism
75,radical,chemical group
10,israel,Zion
242,abuse,maltreatment
534,stupid,unintelligent
458,bra,bandeau
278,nip,relish
441,roach,roofy
588,testicle,nut
573,blacks,lightlessness
513,anal,anal retentive
386,excrement,excretory product
456,fucks,do it
249,redneck,cracker
170,orgies,riot
55,weapon,arm
90,abortion,miscarriage
560,violence,force
589,bestiality,zooerastia
511,gob,cakehole
495,hooters,honker
563,booty,loot
475,ejaculation,interjection
372,oral,viva voce
561,dago,Guinea
355,hustler,operator
247,mafia,Cosa Nostra
466,shoot,frivol away
118,chinese,Formosan
351,puke,vomitus
66,spunk,heart
376,sucks,nurse
17,execute,action
142,fire,elicit
298,assassin,bravo
205,japanese,Nipponese
231,jackass,fathead
210,turd,dirt
45,slapper,spanker
500,pixy,gremlin
565,shitter,voider
263,fairy,fay
424,kinky,frizzy
499,scallywag,knave
584,spank,larrup
408,sick,nauseated
395,nympho,nymphomaniac
78,balls,globe
493,queer,curious
320,devil,Old Nick
96,niggardly,grudging
504,attack,aggress
507,fatso,butterball
570,breast,summit
89,goddamned,goddam
481,canadian,Canadian River
301,republican,Republican River
236,snowballing,snowball
46,tantra,Tantrism
350,sexpot,sex kitten
211,fagging,dig
107,hymen,maidenhead
568,pimped,pander
357,backdoor,back entrance
0,jigaboo,spade
181,kaffir,kafir corn
71,fecal,faecal
422,jihad,international jihad
102,moslem,Islamic
437,poverty,poorness
108,slime,sludge
554,killed,pop
576,bestial,brutal
293,desire,trust
264,horny,steamy
389,servant,retainer
429,nigglings,bicker
446,sex,sexual practice
26,niggling,lilliputian
409,rump,derriere
311,hymie,sheeny
239,molestation,harassment
428,farted,break wind
546,cocksucker,mother fucker
134,husky,burly
460,shit,tinker's dam
571,sperm,spermatozoan
196,cunt,slit
356,nipples,mammilla
325,fondle,caress
445,porno,erotica
178,conservative,button-down
346,fraud,pseudo
369,burn,burn off
140,foreskin,prepuce
533,pros,pro
171,pisses,peeing
285,ginzo,Guinea
113,racist,racialist
18,shitty,stinky
76,slaughter,drubbing
206,church,Christian church
506,marijuana,ganja
535,radicals,chemical group
190,lotion,application
586,mad,unbalanced
567,hussy,adulteress
159,eunuch,castrate
308,clit,button
454,satan,Prince of Darkness
339,crotch,privates
393,fetish,juju
391,dumbass,bonehead
175,horn,cornet
112,arse,derriere
68,xx,20
354,lesbian,tribade
224,american,American English
65,latin,Romance
479,panty,scanty
126,booby,pinhead
470,grope,fumble
435,kotex,sanitary napkin
379,sob,breathlessness
528,hostage,surety
333,honkey,honkie
473,hillbillies,hillbilly
483,niger,Republic of Niger
390,pud,pudding
137,homo,human
382,bitching,grouse
7,rimming,rim
526,tuckahoe,Peltandra virginica
179,dick,shaft
542,babe,sister
367,muff,muck up
574,mams,Mam
433,beaner,beanball
579,honk,beep
155,ejaculate,seed
233,toilet,lavatory
185,spreadeagle,rout
101,wank,jerking off
97,faggot,faggot up
20,hamas,Islamic Resistance Movement
153,crabs,Phthirius pubis
54,spitter,expectorator
30,piss,peeing
342,wop,Guinea
49,triplex,ternary
100,dead,drained
271,terror,brat
303,death,demise
515,dike,dam
337,nigger,spade
56,dive,nose dive
144,welfare,wellbeing
60,nudity,nudeness
194,wanker,jerk-off
246,damn,tinker's dam
392,crapper,potty
365,harder,firmly
310,ass,derriere
6,narcotic,soporific
268,diddle,swindle
8,boner,blunder
384,faeces,faecal matter
421,crap,dirt
282,fuckhead,bonehead
252,sexy,aphrodisiac
208,babies,coddle
279,weewee,water
457,addicts,nut
338,hardcore,hard-core
318,reefer,marijuana cigarette
167,colored,distort
38,copulate,mate
312,crash,break apart
306,masturbate,jerk off
496,kike,sheeny
163,bastard,bogus
124,killer,grampus
154,christ,Redeemer
59,erection,erecting
304,goy,gentile
555,whacker,whopper
158,horseshit,Irish bull
51,asian,Asiatic
336,arab,Arabian
219,voyeur,Peeping Tom
74,dies,pall
4,randy,steamy
449,shithead,bonehead
417,spunky,plucky
299,fingering,finger
362,liquor,hard drink
5,herpes,herpes virus
141,kumquat,kumquat tree
516,pegging,nail down
135,kink,rick
316,shitting,betray
503,pussy,slit
22,pee,peeing
276,swastika,Hakenkreuz
284,shooting,frivol away
453,disturbed,stir up
281,beast,wolf
220,fore,bow
536,nigga,spade
120,bastinado,falanga
81,bareback,barebacked
425,fear,care
464,fucking,do it
575,killing,pop
569,boob,blunder
160,bondage,slavery
578,pot,slew
238,abo,Aborigine
581,heterosexual,straight
348,flasher,blinker
195,whites,T. H. White
191,asshole,mother fucker
116,firing,elicit
406,addict,nut
469,quickie,quicky
164,nazi,national socialist
106,doom,doomsday
443,blow,snow
63,adult,fully grown
105,sucker,all-day sucker
345,fuck,do it
558,spick,immaculate
519,black,disastrous
380,jewish,Judaic
93,god,idol
529,nude,au naturel
434,dyke,dam
582,jigger,shot glass
509,joint,junction
198,scum,trash
145,arabs,Arabian
150,enemy,opposition
39,gun,gunslinger
539,cemetery,memorial park
521,fucked,do it
322,negroes,Black person
253,darky,darkey
361,chink,click
69,kraut,Boche
2,urine,water
221,cocaine,cocain
552,stroke,CVA
146,transvestite,transvestic
289,yankee,New Englander
241,suicide,self-annihilation
378,enema,clyster
474,nasty,filthy
114,jade,pall
344,fag,dig
455,lowlife,git
438,uterus,womb
176,rape,despoil
522,showtime,outset
168,ethnic,ethnical
401,shite,dirt
501,kkk,Klan
412,tits,mammilla
399,scissoring,scissor
136,gay,jolly
580,sexing,arouse
254,screw,do it
538,pixie,gremlin
432,meth,deoxyephedrine
523,kid,nestling
494,bombing,bombardment
255,molest,hassle
232,sexed,arouse
133,jugs,imprison
33,australian,Aboriginal Australian
88,bugger,sodomist
290,goddamn,goddam
44,ho,holmium
353,virgin,virginal
341,cocks,shaft
61,bast,bast fiber
199,drug,do drugs
385,shitlist,blacklist
566,sodomy,anal sex
426,wanking,jerk off
404,intercourse,social intercourse
364,areola,ring of color
218,niggles,bicker
302,assholes,mother fucker
297,horney,Karen Horney
73,whitey,honkie
295,sissy,pantywaist
35,buggery,anal sex
405,angry,furious
29,retard,cretin
502,sos,sol
480,topless,bare-breasted
487,corruption,putrescence
309,niggle,bicker
562,feces,faecal matter
217,chin,chin up
27,slant,pitch
471,lies,Trygve Lie
414,sooty,jet-black
156,lucifer,daystar
583,blowjob,cock sucking
484,bigger,braggart
138,niggardliness,closeness
212,pisser,urinator
104,erotic,titillating
489,ejaculated,blunder
485,titty,bosom
491,knockers,rapper
215,snigger,snicker
524,fellatio,fellation
189,skank,crud
214,tinkle,clink
547,crappy,stinky
204,sexual,intimate
234,uk,Britain
259,hindoo,Hindustani
67,gross,complete
24,scag,hell dust
381,wuss,doormat
216,dix,Dorothea Lynde Dix
300,cock,shaft
436,suck,nurse
223,penises,phallus
129,bisexual,epicene
349,filipino,Philippine
111,premature,previous
166,executioner,public executioner
267,playboy,man-about-town
207,goyim,gentile
40,slave,break one's back
274,whop,wham
497,failure,unsuccessful person
79,poof,queen
548,mideast,Middle East
476,strappado,strapado
327,kill,pop
13,testicles,nut
287,puss,slit
326,condom,rubber
121,pansy,pantywaist
251,orgy,riot
228,failed,betray
416,prick,dent
490,bible,Book
161,crack,quip
83,limey,John Bull
117,murder,mutilate
374,bomb,dud
447,syphilis,pox
25,aroused,brace
110,hijacking,highjacking
149,peckerwood,woodpecker
413,bombs,dud
152,genital,venereal
16,pissed,pixilated
477,jew,Hebrew
331,smut,obscenity
109,blackout,memory loss
517,bullshit,Irish bull
492,whorehouse,bordello
139,dope,locoweed
237,titties,bosom
260,moles,seawall
352,looser,free
498,snot,snob
317,blind,subterfuge
323,moron,half-wit
532,gyp,gip
248,fagot,faggot up
450,asses,derriere
410,nigerian,Nigerien
463,pussycat,kitty-cat
525,assault,lash out
19,conspiracy,cabal
328,hoes,hoe
296,penis,phallus
520,homosexual,homophile
269,fatah,al-Asifa
363,spic,immaculate
226,mormon,Latter-Day Saint
94,communist,communistic
3,whit,shred
553,shits,tinker's dam
